query_id,category,query_type,query,expected_page,mm_precision_5,mm_recall_5,mm_mrr,mm_rank,mm_latency,text_precision_5,text_recall_5,text_mrr,text_rank,text_latency
Q01,text,text,What was the highest-ever total revenue of TVS Motor Company in FY 2024-25?,4,0.0,0.0,0.0,0,0.05354666709899902,0.0,0.0,0.0,0,0.055545806884765625
Q02,text,text,What was the PBT (Profit Before Tax) for TVS Motor Company in FY 2024-25?,47,0.0,0.0,0.0,0,0.023001432418823242,0.0,0.0,0.0,0,0.023001432418823242
Q03,text,text,Who is the Chairman and Chairman Emeritus of TVS Motor Company as of the FY 2024-25 report?,16,0.0,0.0,0.0,0,0.02799820899963379,0.0,0.0,0.0,0,0.026999473571777344
Q04,text,text,How many countries are TVS Motor Company products sold in according to the report?,21,0.0,0.0,0.0,0,0.023107528686523438,0.0,0.0,0.0,0,0.024105310440063477
Q05,text,text,What was the R&D investment of TVS Motor Company in FY 2024-25?,25,0.0,0.0,0.0,0,0.0240020751953125,0.0,0.0,0.0,0,0.023001909255981445
Q06,text,text,What is the number of affiliations of TVS Motor Company with trade and industry chambers?,88,0.0,0.0,0.0,0,0.026000261306762695,0.0,0.0,0.0,0,0.026998043060302734
Q07,text,text,What wholly owned subsidiary was incorporated in Dubai on 27th June 2024?,61,0.2,1.0,0.5,2,0.03100109100341797,0.2,1.0,1.0,1,0.03200054168701172
Q08,text,text,What program was launched in Hosur as a cornerstone of health and wellness efforts?,29,0.0,0.0,0.0,0,0.03500247001647949,0.2,1.0,0.5,2,0.03399968147277832
Q09,visual,visual,What is the renewable power contribution to the overall share of power in FY 2024-25?,27,0.0,0.0,0.0,0,0.04018235206604004,0.0,0.0,0.0,0,0.03917717933654785
Q10,visual,visual,What was the contribution of exports to the Company's revenues in Spotlight Story #2?,21,0.0,0.0,0.0,0,0.03499722480773926,0.2,1.0,1.0,1,0.034000396728515625
Q11,visual,visual,What was the penetration rate of the two-wheeler EV scooter industry according to the VAHAN snapshot?,49,0.2,1.0,0.5,2,0.0379941463470459,0.2,1.0,0.5,2,0.036994218826293945
Q12,visual,visual,What is the number of users of TVSM vehicles shown in the highlights?,2,0.2,1.0,0.25,4,0.03399944305419922,0.0,0.0,0.0,0,0.03499913215637207
Q13,visual,visual,How many villages were impacted by CSR initiatives as shown in the ESG highlights?,27,0.2,1.0,0.2,5,0.03284883499145508,0.2,1.0,0.5,2,0.03284883499145508
Q14,visual,visual,How many Kaizens were implemented in 2024-25 according to the ESG highlights?,27,0.2,1.0,1.0,1,0.03232240676879883,0.2,1.0,1.0,1,0.03132152557373047
Q15,visual,visual,What was the growth rate of the two-wheeler EV scooter industry in FY 2024-25?,49,0.2,1.0,0.5,2,0.027997732162475586,0.2,1.0,0.5,2,0.026996850967407227
